"ii","Dim2","rr","Val"
"obs","oap","CHN",-0.0154937279031012
"obs","oap","JPN",-0.0187683130627294
"obs","oap","KOR",-0.00834313177776214
"obs","oap","CAN",-0.0167579015622596
"obs","oap","USA",-0.0322814467799832
"obs","oap","MEX",-0.0734415324287456
"obs","oap","RUS",-0.0186110491464212
"obs","oap","LAM",-0.00800589694292279
"obs","oap","EUR",-0.000683510775003372
"obs","oap","ROE",-0.000662935267618218
"obs","oap","ANZ",-0.00517590049002565
"obs","oap","MES",-0.0202237452433065
"obs","rmk","CHN",-0.0152394221895052
"obs","rmk","JPN",-0.0184052502064199
"obs","rmk","KOR",-0.0101182572931504
"obs","rmk","CAN",-0.0173325852914094
"obs","rmk","USA",-0.0363136527952425
"obs","rmk","MEX",-0.0720614234116632
"obs","rmk","RUS",-0.0334365218027545
"obs","rmk","LAM",-0.00537711358272918
"obs","rmk","EUR",-0.00149146512374941
"obs","rmk","ROE",-0.000413510078662578
"obs","rmk","ANZ",-0.00369585715127242
"obs","rmk","MES",-0.0074583556577935
"obs","wol","CHN",-0.0155133675818492
"obs","wol","JPN",-0.0189258435792353
"obs","wol","KOR",-0.0116461370576172
"obs","wol","BRA",-0.00589192665783855
"obs","wol","RUS",-0.0194407158489934
"obs","wol","LAM",-0.00403686875967056
"obs","wol","EUR",-0.00330564937398075
"obs","wol","ROE",-2.87123871650763E-5
"obs","wol","ANZ",-0.0058812374904073
"obs","wol","MES",-9.21372640000914E-5
"obs","frs","REA",-3.12307753038802E-7
"obs","coa","LAM",2.87298431442722E-8
"obs","coa","ROE",-3.97949329023577E-10
"obs","coa","ASI",-1.15917452714712E-8
"obs","coa","AFR",4.9347427029632E-11
"obs","gas","CHN",4.26689005891303E-7
"obs","gas","LAM",3.58491248805288E-10
"obs","gas","EUR",1.15103971733701E-9
"obs","gas","ROE",4.60026321226813E-12
"obs","mil","LAM",1.6824582459664E-9
"obs","pcr","LAM",-4.29335560863169E-10
"obs","sgr","LAM",-7.94359541730385E-9
"obs","b_t","LAM",-8.40378553965461E-9
"obs","p_c","AFR",3.83918722638246E-10
"obs","crp","AFR",-2.49217078577841E-9
"obs","nfm","AFR",2.90001550450903E-11
"obs","cns","ROE",1.43766868876664E-10
"obs","trd","REA",3.4218388700718E-7
"obs","otp","AFR",-1.32845218780078E-10
"obs","wtp","LAM",-1.29401374260474E-10
"obs","atp","AFR",2.97365175018819E-13
"obs","cmn","LAM",-3.72094076136229E-9
"obs","c","CHN",0.0910171854173084
"obs","c","JPN",0.0499994458725685
"obs","c","KOR",0.0710441988541617
"obs","c","IND",0.00232418437430804
"obs","c","CAN",0.001532690651183
"obs","c","USA",0.0145067286484073
"obs","c","MEX",0.026577478566673
"obs","c","BRA",0.0247830238827393
"obs","c","RUS",-0.147918243232761
"obs","c","LAM",0.113074830245394
"obs","c","EUR",0.121892818993022
"obs","c","ROE",0.0585258503658661
"obs","c","ASI",0.0604878770306201
"obs","c","REA",0.0287374113912692
"obs","c","ANZ",0.112362997814822
"obs","c","MES",0.0461801468568575
"obs","c","AFR",0.0333170106867088
"obs","c","IDZ",0.0270784830260808
"obs","g","CHN",0.0986460330574102
"obs","g","JPN",0.0500009401007673
"obs","g","IND",0.00425689761976678
"obs","g","MEX",9.73298242226139E-5
"obs","g","LAM",0.00237207081987876
"obs","g","EUR",0.000618062172923511
"obs","g","ROE",0.0119613694316872
"obs","g","ASI",0.0438819639900574
"obs","g","REA",-0.00359698630907952
"obs","g","ANZ",0.00633374058874729
"obs","g","MES",0.0037184948886626
"obs","g","AFR",-0.00362856139426053
"obs","i","CHN",0.0970882801162446
"obs","i","JPN",0.0120986349667178
"obs","i","KOR",0.515081188985239
"obs","i","IND",0.0232718994425563
"obs","i","CAN",0.0771820169649933
"obs","i","USA",0.00195415086715811
"obs","i","BRA",0.0234637556742796
"obs","i","RUS",0.0882124616449522
"obs","i","LAM",0.0778074383546673
"obs","i","EUR",0.00137508693252181
"obs","i","ROE",0.0072415371735526
"obs","i","ASI",0.00681853510826046
"obs","i","REA",0.00688703171699982
"obs","i","ANZ",0.0121792641877847
"obs","i","MES",0.00216395633662762
"obs","i","AFR",0.0352728651230189
"ros","pdr","CHN",-0.0151168319305937
"ros","pdr","KOR",-0.0308930857204044
"ros","pdr","RUS",-0.0548664965443281
"ros","pdr","ROE",-0.0122782574166391
"ros","pdr","ANZ",-0.0023536851950271
"ros","pdr","AFR",-0.00247620079861606
"ros","pdr","IDZ",-0.110818875718822
"ros","wht","CHN",-0.0159874274194278
"ros","wht","CAN",-0.0143215777564797
"ros","wht","USA",-0.0498464397141042
"ros","wht","MEX",-0.710075132264548
"ros","wht","RUS",-0.082205839971157
"ros","wht","EUR",-0.000450502600621803
"ros","wht","ROE",-0.00935048208936499
"ros","wht","ANZ",-0.0185467965198973
"ros","wht","AFR",-0.0043511102252748
"ros","gro","CHN",-0.0151299569066856
"ros","gro","CAN",-0.0153272478547276
"ros","gro","MEX",-0.444434587082267
"ros","gro","BRA",-0.0422259184990682
"ros","gro","RUS",-0.059892828656851
"ros","gro","EUR",-0.00196600151441533
