"ii","rr","ss","Val"
"gro","EUR","JPN",0.0679424876095111
"gro","EUR","KOR",4.28654396673998
"gro","EUR","TWN",0.00381783003285219
"gro","EUR","IND",0.00806755627098099
"gro","EUR","CAN",0.000152287484977826
"gro","EUR","USA",0.000707859540876004
"gro","EUR","RUS",0.049854532332727
"gro","EUR","LAM",0.0677041776849762
"gro","EUR","EUR",0.00791074984036765
"gro","EUR","ROE",0.269585015187967
"gro","EUR","ASI",0.0189577744588431
"gro","EUR","REA",0.00111464137540821
"gro","EUR","MES",0.0814186578281064
"gro","EUR","AFR",0.0960319062435852
"gro","ROE","JPN",0.0853089059422214
"gro","ROE","KOR",4.23490175651002
"gro","ROE","TWN",4.41890534156336E-5
"gro","ROE","USA",9.68786113048416E-5
"gro","ROE","LAM",0.00154079567841691
"gro","ROE","EUR",0.00715133997483939
"gro","ROE","ROE",0.33281741313423
"gro","ROE","ASI",0.00598617018379661
"gro","ROE","REA",0.0224711072881164
"gro","ROE","MES",0.0811717314816219
"gro","ROE","AFR",0.0321921188931987
"gro","ASI","CHN",0.000350872689969619
"gro","ASI","JPN",0.0562033826947351
"gro","ASI","TWN",0.0120984636620707
"gro","ASI","IND",0.140893240830277
"gro","ASI","CAN",0.000528183842677995
"gro","ASI","USA",0.00133841537317601
"gro","ASI","EUR",0.0140444342060286
"gro","ASI","ASI",0.00478525029175738
"gro","ASI","REA",0.0010639382979367
"gro","ASI","MES",0.010582260012456
"gro","ASI","AFR",0.00317814727735374
"gro","REA","CHN",0.00677434332933884
"gro","REA","JPN",0.00621785380543716
"gro","REA","KOR",1.16056123706474
"gro","REA","TWN",0.00301903207775533
"gro","REA","IND",0.0036702873784093
"gro","REA","USA",5.22576747115553E-5
"gro","REA","MEX",0.0396191813916554
"gro","REA","BRA",0.0124343968423912
"gro","REA","RUS",0.0356157071506602
"gro","REA","LAM",0.0025975334698199
"gro","REA","EUR",0.00443706969412424
"gro","REA","ROE",0.0850952165733282
"gro","REA","ASI",0.0949650223546992
"gro","REA","REA",0.0183658541892628
"gro","REA","MES",0.0229436670506368
"gro","REA","AFR",0.0526362425748018
"gro","REA","IDZ",0.0276828649079614
"gro","ANZ","CHN",0.0145811660630144
"gro","ANZ","JPN",0.14596874724114
"gro","ANZ","KOR",3.85221238338459
"gro","ANZ","TWN",0.00110655979894292
"gro","ANZ","IND",0.00190552645931542
"gro","ANZ","CAN",0.000315942051254151
"gro","ANZ","USA",0.000623752316717889
"gro","ANZ","MEX",0.195800109680995
"gro","ANZ","BRA",0.0434999655606957
"gro","ANZ","RUS",0.0900000503548157
"gro","ANZ","LAM",0.0983010942770753
"gro","ANZ","EUR",0.193000143316348
"gro","ANZ","ROE",0.00915752015115214
"gro","ANZ","ASI",0.122744153050481
"gro","ANZ","REA",0.0127215164793879
"gro","ANZ","ANZ",0.00687186181346276
"gro","ANZ","MES",0.00329290797775986
"gro","ANZ","AFR",0.0246410301850747
"gro","ANZ","IDZ",0.0440462347413469
"gro","MES","USA",0.000374295635303508
"gro","MES","EUR",0.00585173235090332
"gro","MES","ROE",0.153173815077338
